college_code,college_name,branch_id,branch_name,students_count,verified_students_count,logged_in_students_count
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,101,B.Tech. Fashion Technology,89,89,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,102,B.E Information Science and Engineering,145,145,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,103,B.Tech. Textile Technology,151,151,0
7376,BANNARI AMMAN INSTITUTE OF TECHNOLOGY,124,B.Tech Computer Technology,169,169,0
1234567,Demo College 2,61,B.E. Computer Science and Engineering,14,14,0
1234567,Demo College 2,65,B.E. Electrical and Electronics Engineering,5,5,0
1234567,Demo College 2,1051,COMPUTER SCIENCE AND ENGINEERING (FULL TIME),1,1,0
1234567,Demo College 2,3030,ELECTRICAL AND ELECTRONICS ENGINEERING (PART TIME),1,1,0
1234567,Demo College 2,83,B.E Mechanical Engineering,1,1,0
1234567,Demo College 2,84,B.E Civil Engineering,1,1,0
1234567,Demo College 2,117,B.E Production Engineering,1,1,0
4,"Madras Institute of Technology, Anna University",1025,PRODUCTION ENGINEERING (FULL TIME),18,18,0
4,"Madras Institute of Technology, Anna University",61,B.E. Computer Science and Engineering,343,343,0
4,"Madras Institute of Technology, Anna University",62,B.E. Mechanical Engineering,22,22,0
4,"Madras Institute of Technology, Anna University",37,B.Tech. Information Technology,335,335,0
4,"Madras Institute of Technology, Anna University",81,B.E Electronics and Communication Engineering,378,378,0
4,"Madras Institute of Technology, Anna University",83,B.E Mechanical Engineering,153,153,0
4,"Madras Institute of Technology, Anna University",91,B.E Electronics and Instrumenataion Engineering,141,141,0
4,"Madras Institute of Technology, Anna University",93,B.E Automobile Engineering,217,217,0
4,"Madras Institute of Technology, Anna University",100,B.E Aeronautical Engineering,127,127,0
4,"Madras Institute of Technology, Anna University",117,B.E Production Engineering,137,137,0
4,"Madras Institute of Technology, Anna University",130,B.Tech Rubber And Plastics Technology,146,146,0
1114,Prathyusha engineering college,61,B.E. Computer Science and Engineering,346,346,0
1114,Prathyusha engineering college,62,B.E. Mechanical Engineering,6,6,0
1114,Prathyusha engineering college,36,B.E. Electronics and Communication Engineering,6,6,0
1114,Prathyusha engineering college,65,B.E. Electrical and Electronics Engineering,27,27,0
1114,Prathyusha engineering college,37,B.Tech. Information Technology,163,163,0
1114,Prathyusha engineering college,81,B.E Electronics and Communication Engineering,201,201,0
1114,Prathyusha engineering college,83,B.E Mechanical Engineering,50,50,0
1114,Prathyusha engineering college,84,B.E Civil Engineering,8,8,0
1114,Prathyusha engineering college,86,B.Tech. Artificial Intelligence and Data Science,88,88,0
1114,Prathyusha engineering college,98,B.E Mechatronics Engineering,4,4,0
1114,Prathyusha engineering college,99,B.Tech. Biotechnology,86,86,0
1114,Prathyusha engineering college,138,B.Tech. Bio Technology,9,9,0
8126,M.A.M College of Engineering,61,B.E. Computer Science and Engineering,275,275,1
8126,M.A.M College of Engineering,65,B.E. Electrical and Electronics Engineering,50,50,0
8126,M.A.M College of Engineering,37,B.Tech. Information Technology,136,136,0
8126,M.A.M College of Engineering,1023,AGRICULTURAL ENGINEERING (FULL TIME),1,1,0
8126,M.A.M College of Engineering,81,B.E Electronics and Communication Engineering,89,89,0
8126,M.A.M College of Engineering,83,B.E Mechanical Engineering,79,79,0
8126,M.A.M College of Engineering,84,B.E Civil Engineering,28,28,0
8126,M.A.M College of Engineering,86,B.Tech. Artificial Intelligence and Data Science,84,84,0
8126,M.A.M College of Engineering,88,B.E Agriculture Engineering,66,66,0
8126,M.A.M College of Engineering,91,B.E Electronics and Instrumenataion Engineering,21,21,0
8126,M.A.M College of Engineering,105,B.Tech. Agriculture Engineering,23,23,0
7144,TEJAA SHAKTHI INSTITUTE OF TECHNOLOGY FOR WOMEN,93,B.E Automobile Engineering,1,0,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,61,B.E. Computer Science and Engineering,217,217,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,62,B.E. Mechanical Engineering,1,1,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,65,B.E. Electrical and Electronics Engineering,18,18,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,37,B.Tech. Information Technology,115,115,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,81,B.E Electronics and Communication Engineering,73,73,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,83,B.E Mechanical Engineering,46,46,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,84,B.E Civil Engineering,8,8,0
3116,MISRIMAL NAVAJEE MUNOTH JAIN ENGINEERING COLLEGE,86,B.Tech. Artificial Intelligence and Data Science,49,49,0
3115,MEENAKSHI SUNDARARAJAN ENGINEERING COLLEGE,61,B.E. Computer Science and Engineering,187,187,0
