college_code,college_name,student_count
1014,University College of Engineering, Tindivanam,0,
6116,MAHENDRA INSTITUTE OF TECHNOLOGY,0,
952,MASS POLYTECHNIC COLLEGE,0,
845,SRI ANNAI POLYTECHNIC COLLEGE,0,
5129,SRI RENUGAMBAL COLLEGE OF ARCHITECTURE,0,
6121,SENGUNTHAR B SCHOOL FOR WOMEN,0,
945,AKY POLYTECHNIC COLLEGE,0,
876,VAANI POLYTECHNIC COLLEGE,0,
373,THIRU SEVEN HILLS POLYTECHNIC COLLEGE,0,
1178,RAJA RAJESWARI ENGINEERING COLLEGE,0,
788,MIT POLYTECHNIC COLLEGE,0,
7223,SAN INTERNATIONAL BUSINESS SCHOOL,0,
4,Madras Institute of Technology,0,
868,MAHARAJA POLYTECHNIC COLLEGE,0,
7377,K.S.RANGASAMY COLLEGE OF TECHNOLOGY,0,
7232,SVS INSTITUTE OF MANAGEMENT STUDIES,0,
353,S A RAJA'S POLYTECHNIC COLLEGE,0,
219,VALIVALAM DESIKAR POLYTECHNIC COLLEGE,0,
1182,P.M.R. INSTITUTE OF TECHNOLOGY,0,
749,A K T MEMORIAL POLYTECHNIC COLLEGE,0,
227,MOHAMMED SATHAK POLYTECHNIC COLLEGE,0,
2615,GOVERNMENT COLLEGE OF ENGINEERING, SALEM,0,
6101,ALPHA INSTITUTE OF MANAGEMENT,0,
334,C C M RAMAKRISHNA POLYTECHNIC COLLEGE,0,
6212,KING COLLEGE OF TECHNOLOGY,0,
6123,SENGUNTHAR ENGINEERING COLLEGE,0,
590,THE KONGU POLYTECHNIC COLLEGE,0,
358,SRI VENKATESWARA POLYTECHNIC COLLEGE,0,
745,RAJALAKSHMI POLYTECHNIC COLLEGE,0,
767,DON BOSCO POLYTECHNIC COLLEGE,0,
853,GOLDEN POLYTECHNIC COLLEGE,0,
401,MOTILAL NEHRU GOVERNMENT POLYTECHNIC COLLEGE,0,
7229,SRI VENKATESWARA COLLEGE OF COMPUTER APPLICATIONS AND MANAGEMENT,0,
808,THIRUMALAI-MADHANUR POLYTECHNIC COLLEGE,0,
830,MUTHAYAMMAL POLYTECHNIC INSTITUTION,0,
898,RAMYA SATHIANATHAN POLYTECHNIC COLLEGE,0,
131,GOVERNMENT POLYTECHNIC COLLEGE,0,
8132,PAVENDAR BHARATHIDASAN INSTITUTE OF INFORMATION TECHNOLOGY,0,
301,V RAMAKRISHNA POLYTECHNIC COLLEGE,0,
