college_id,college_code,college_name
1590,734,KOTTAI MARIAMMAN POLYTECHNIC COLLEGE
1585,728,BHAVANI POLYTECHNIC COLLEGE
1578,721,ROYAL POLYTECHNIC COLLEGE
1797,1114,Prathyusha engineering college
1583,726,P S N INSTITUTE OF TECHNOLOGY
1093,9509,Holycross Engineering college 
1584,727,SRI RAJIV GANDHI POLYTECHNIC COLLEGE
1592,736,SHREE  MARUTHI POLYTECHNIC COLLEGE
1587,730,SRI RAMAKRISHNA POLYTECHNIC COLLEGE
1588,732,GANDHI POLYTECHNIC COLLEGE
1595,739,VOICE OF GOD POLYECHNIC COLLEGE
1580,723,CAPE POLYTECHNIC COLLEGE
1589,733,SALEM KONGU POLYTECHNIC COLLEGE
1593,737,PAAVENDHAR POLYTECHNIC COLLEGE
1596,740,SRI BALAKRISHNA POLYTECHNIC COLLEGE
1599,743,GUDIYATTAM POLYTECHNIC COLLEGE
1601,745,RAJALAKSHMI POLYTECHNIC COLLEGE
1619,765,SIR ISSAC NEWTON POLYTECHNIC COLLEGE
1600,744,SRI RAMACHANDRA POLYTECHNIC COLLEGE
1115,9532,"UNIVERSITY COLLEGE OF ENGINEERING, THOOTHUKUDI"
781,7113,K P R INSTITUTE OF ENGINEERING AND TECHNOLOGY
1605,750,AYYAPPA POLYTECHNIC COLLEGE
1606,752,SASTHA POLYTECHNIC COLLEGE
1607,753,MAHATH AMMA POLYTECHNIC COLLEGE
1620,766,HAJI SHEIK ISMAIL POLYTECHNIC COLLEGE
1609,755,SRI BHARATHI POLYTECHNIC COLLEGE FOR WOMEN
1616,762,N V POLYTECHNIC COLLEGE
1624,772,PET POLYTECHNIC COLLEGE
1612,758,ANNAI COLLEGE OF POLYTECHNIC COLLEGE
1614,760,SRI BALAMURUGAN POLYTECHNIC COLLEGE
1088,9504,Dr.G.U.Pope College of Engineering
1615,761,JAYAM POLYTECHNIC COLLEGE
1608,754,ST. JOSEPH POLYTECHNIC COLLEGE
1626,775,UNION CHRISTIAN POLYTECHNIC COLLEGE
1618,764,SRI RANGANATHAR INSTITUTE OF POLYTECHNIC COLLEGE
1623,769,ST. MICHEAL POLYTECHNIC COLLEGE
1621,767,DON BOSCO POLYTECHNIC COLLEGE
1617,763,THIRUVALLUVAR POLYTECHNIC COLLEGE
1625,774,UDAYA INSTITUTE OF TECHNOLOGY
1598,742,CHOLAN INSTITUTE OF TECHNOLOGY
1635,785,GURU RAAGAVINDRA POLYTECHNIC COLLEGE
1628,777,VICKRAM POLYTECHNIC COLLEGE
1638,789,K.K.S. MANI POLYTECHNIC COLLEGE
1627,776,SRI RAMAKRISHNA POLYTECHNIC COLLEGE
1630,780,S.VEERASAMY CHETTIAR POLYTECHNIC COLLEGE
1650,804,SRI SANTHOSHI POLYTECHNIC COLLEGE
1654,809,SRI SAKTHI POLYTECHNIC COLLEGE
1634,784,S.V.S POLYTECHNIC COLLEGE
1632,782,S S K POLYTECHNIC COLLEGE
1637,788,MIT POLYTECHNIC COLLEGE
1633,783,SRI KARPAGA POLYTECHNIC COLLEGE
1644,797,SRI PADMAM POLYTECHNIC COLLEGE
1653,808,THIRUMALAI-MADHANUR POLYTECHNIC COLLEGE
1646,799,SRI VIGNESH POLYTECHNIC COLLEGE
1642,795,ST.MARIAM POLYTECHNIC COLLEGE
1643,796,SREE KUMARAGURU POLYTECHNIC COLLEGE
1631,781,C.M. ANNAMALAI POLYTECNIC COLLEGE
1636,786,MARUTAM NELLI POLYTECHNIC COLLEGE
1652,806,VETHATHIRI MAHARISHI INSTITUTE OF TECHNOLOGY
1647,801,SRI RAMANA INSTITUTE OF POLYTECHNIC COLLEGE
1645,798,SRI VINAYAGA POLYTECHNIC COLLEGE
1649,803,AISHWARYA POLYTECHNIC COLLEGE
1640,791,SRI S.RAMASAMY NAIDU MEMORIAL POLYTECHNIC COLLEGE
1655,810,ST. JOSEPH'S POLYTECHNIC COLLEGE
1656,811,SRI ANNAMALAI POLYTECHNIC COLLEGE
1678,838,VIDHYALAKSHMI POLYTECHNIC COLLEGE
1658,813,SREE ARUMUGHAM POLYTECHNIC COLLEGE
1679,839,KALA PANDIAN POLYTECHNIC COLLEGE
1660,815,NETHAJI SUBASH CHANDRA BOSE POLYTECHNIC COLLEGE
1671,827,G.P.POLYTECHNIC COLLEGE
1663,818,ACHARYA POLYTECHNIC COLLEGE
1681,841,SHRI RAMANAS ABC POLYTECHNIC COLLEGE
1667,822,U.S.P.POLYTECHNIC COLLEGE
1664,819,SRI THIAGARAJAR POLYTECHNIC COLLEGE
1665,820,JESU POLYTECHNIC COLLEGE
1672,829,THIRUMALAI POLYTECHNIC COLLEGE
1673,830,MUTHAYAMMAL POLYTECHNIC INSTITUTION
1668,823,BWDA POLYTECHNIC COLLEGE
1669,824,NACHIAPPA SWAMIGAL POLYTECHNIC COLLEGE
1657,812,SURYA POLYTECHNIC  COLLEGE
1662,817,SHRI KRISHNAA POLYTECHNIC COLLEGE
1674,831,RAASI POLYTECHNIC COLLEGE
1675,833,S.M.S. POLYTECHNIC COLLEGE
1659,814,ANNAI MADHA POLYTECHNIC COLLEGE
1677,837,K E T POLYTECHNIC COLLEGE
1682,842,DEVANGAR POLYTECHNIC COLLEGE
1666,821,K.M.G.POLYTECHNIC COLLEGE
1676,836,S. THANGAPAZHAM POLYTECHNIC COLLEGE
1097,9513,Jayaraj Annapackiam CSI College of Engineering
1683,843,SRI MAHALAKSHMI POLYTECHNIC COLLEGE
1691,853,GOLDEN POLYTECHNIC COLLEGE
1693,857,V.K.P. POLYTECHNIC COLLEGE
1688,849,JEYA POLYTECHNIC COLLEGE
1707,871,M.M POLYTECHNIC COLLEGE
1687,848,KUMARAN POLYTECHNIC COLLEGE
1705,869,RANGANATHAN POLYTECHNIC COLLEGE
1689,850,THAAI POLYTECHNIC COLLEGE
1708,872,VELLORE POLYTECHNIC COLLEGE
1698,862,SWAMI VIVEKANANDA POLYTECHNIC COLLEGE
1685,845,SRI ANNAI POLYTECHNIC COLLEGE
949,8131,Pavendar Bharathidasan College of Engineering and Technology
1696,860,BHARATH NIKETAN POLYTECHNIC COLLEGE
1694,858,DR. KALAM POLYTECHNIC COLLEGE
1793,123456789,Demo college
1706,870,PSV POLYTECHNIC COLLEGE
1690,851,MEENAKSHI POLYTECHNIC COLLEGE
1686,846,HI-TECH POLYTECHNIC COLLEGE
1699,863,SREE VAIKUNDAR POLYTECHNIC COLLEGE
1702,866,VIVEKANANDA POLYTECHNIC COLLEGE
1703,867,ST. JOSEPH'S POLYTECHNIC COLLEGE
1704,868,MAHARAJA POLYTECHNIC COLLEGE
1700,864,MRK POLYTECHNIC COLLEGE
1697,861,ST. XAVIER'S POLYTECHNIC COLLEGE
1527,565,LALGUDI CO-OPERATIVE POLYTECHNIC COLLEGE
1794,1,"College Of Engineering,Guindy Campus"
515,1179,ST.PETER'S ENGINEERING COLLEGE
1531,569,J J POLYTECHNIC COLLEGE
1712,877,SSR POLYTECHNIC COLLEGE
1728,899,MERIT POLYTECHNIC COLLEGE
1714,880,K.S.M. POLYTECHNIC COLLEGE
1715,881,HINDUSTHAN POLYTECHNIC COLLEGE
1727,898,RAMYA SATHIANATHAN POLYTECHNIC COLLEGE
1717,887,KAPI POLYTECHNIC COLLEGE
1735,909,SENTHUR POLYTECHNIC COLLEGE
1552,592,M A M POLYTECHNIC COLLEGE
1724,895,MARIA POLYTECHNIC COLLEGE
1721,892,VENKATRAMANA POLYTECHNIC COLLEGE
1723,894,ANGEL POLYTECHNIC COLLEGE
1737,912,SRI MOOGAMBIGAI POLYTEHNIC COLLEGE
1725,896,E G S PILLAI POLYTECHNIC COLLEGE
1736,911,PARIMALA PANDURANGAN POLYTECHNIC COLLEGE
1710,875,KONGUNADU POLYTECHNIC COLLEGE
1722,893,SRI VENKATESWARA POLYTECHNIC COLLEGE
1730,902,SITA RAJARAM POLYTECHNIC COLLEGE
1713,879,CMS POLYTECHNIC COLLEGE
1733,907,VARADHARAJAN POLYTECHNIC COLLEGE
1718,888,SADASIVAM KATHIRKAMAVALLI POLYTECHNIC COLLEGE
1716,885,SRI VATSA POLYTECHNIC COLLEGE
1756,937,SRI ANDAL NACHIYAR POLYTECHNIC COLLEGE
1739,915,E S POLYTECHNIC COLLEGE
551,2176,E.V.P. ENGINEERING COLLEGE
1740,916,KONGHU HI-TEK POLYTECHNIC COLLEGE
